553fb2c019043c0b29be84a8,Seattle Center,Mary's Place Spring Benefit Luncheon,Spring Luncheon,5/5/2015 11:00am,5/5/2015 12:00pm,start,"553d2375b294237cdf412332,55352fda846af9640a518a06"
553fb2c019043c0b29be84a8,Seattle Center,Open House,"Game dev, 3D Anime, viz fx",5/5/2015 6:00pm,5/5/2015 7:00pm,start,"553d23a4b294237cdf412333,553d256eb294237cdf412334"
553fb2c019043c0b29be84a8,Seattle Center,Tuesday Art Group Meeting Open House,2D/3D Artists Meet to Collab,5/5/2015 6:00pm,5/5/2015 7:00pm,start ,"553fbf23fa36f0038853c6e2,553d23a4b294237cdf412333"
553fb2c019043c0b29be84a8,Seattle Center,Tuesday Art Group Meeting Open House,2D/3D Artists Meet to Collab,5/5/2015 7:30pm,5/5/2015 8:00pm,start,"553fbf23fa36f0038853c6e2,553d23a4b294237cdf412333"
553fb2c019043c0b29be84a8,Seattle Center,Discover the Art of Culture,Exhibit essence cural festival,5/6/2015 9:00am,5/6/2015 10:00am,start,"553fbf23fa36f0038853c6e2,553d23a4b294237cdf412333"
553fb2c019043c0b29be84a8,Seattle Center,Star Wars and the Art of the Costume,"Travel to a Galaxy far, far away…",5/6/2015 10:00am,5/6/2015 11:00am,start,"553fbf23fa36f0038853c6e2,553d23a4b294237cdf412333"
553fb2c019043c0b29be84a8,Seattle Center,Pompeii: The Exhibition,Pompeii before eruption,5/6/2015 10:00am,5/6/2015 11:00am,start,"553fbf23fa36f0038853c6e2,553d23a4b294237cdf412333"
553fb2c019043c0b29be84a8,Seattle Center,Adriadre auf Naxos,Seattle Opera,5/6/2015 7:30pm,5/6/2015 8:30pm,Start,"55352fda846af9640a518a04,55352fda846af9640a518a0f"
553fb2c019043c0b29be84a8,Seattle Center,Little Bee,Book-it Repatory Performance,5/6/2015 7:30pm,5/6/2015 8:30pm,start,55352fda846af9640a518a0f
553fb2c019043c0b29be84a8,Seattle Center,Outside Mullingar,Seattle Repatory Theatre,5/6/2015 7:30pm,5/6/2015 8:30pm,start,55352fda846af9640a518a0f
553fb2c019043c0b29be84a8,Seattle Center,Othello,Seattle Shakespeare Co.,5/6/2015 7:30pm,5/6/2015 8:30pm,start,55352fda846af9640a518a0f
553fb2c019043c0b29be84a8,Seattle Center,Discover the Art of Culture,Exhibit essence cural festival,5/7/2015 9:00am,5/7/2015 10:00am,start,"553fbf23fa36f0038853c6e2,553d23a4b294237cdf412333"
553fb2c019043c0b29be84a8,Seattle Center,Star Wars and the Art of the Costume,"Travel to a Galaxy far, far away…",5/7/2015 10:00am,5/7/2015 11:00am,start,"553fbf23fa36f0038853c6e2,553d23a4b294237cdf412333"
553fb2c019043c0b29be84a8,Seattle Center,Pompeii: The Exhibition,Pompeii before eruption,5/7/2015 10:00am,5/7/2015 11:00am,start,"553fbf23fa36f0038853c6e2,553d23a4b294237cdf412333"
553fb2c019043c0b29be84a8,Seattle Center,The Hot Spot,Teatro Zinzani Performance,5/7/2015 6:30pm,5/7/2015  7:30pm,start,55352fda846af9640a518a0f
553fb2c019043c0b29be84a8,Seattle Center,Robin hood,Seattle Children Performance,5/7/2015 7:00pm,5/7/2015 8:00pm,start,"553549d4c7bf45e600d54166,55352fda846af9640a518a0f"
